"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2368","Inventory Jackets","","2025-12-20","passed","2025-12-20","","cloud.cleo.squareup.voice.lang.SpanishTest","cloud.cleo.squareup.voice.lang.SpanishTest","candlesTest"
"","2944","Bot Name","","2025-12-20","passed","2025-12-20","","cloud.cleo.squareup.voice.lang.FinnishTest","cloud.cleo.squareup.voice.lang.FinnishTest","botNameTest"
"","2304","Inventory Jackets","","2025-12-20","passed","2025-12-20","","cloud.cleo.squareup.voice.lang.FrenchTest","cloud.cleo.squareup.voice.lang.FrenchTest","candlesTest"
"","2602","City RAG Complaint Search","","2025-12-20","passed","2025-12-20","","cloud.cleo.squareup.voice.lang.NorwegianTest","cloud.cleo.squareup.voice.lang.NorwegianTest","cityRagTest"
"","2322","Transfer to Person","","2025-12-20","passed","2025-12-20","","cloud.cleo.squareup.voice.TransferTest","cloud.cleo.squareup.voice.TransferTest","hangupTest"
"","1959","Hang Up","","2025-12-20","passed","2025-12-20","","cloud.cleo.squareup.voice.HangupTest","cloud.cleo.squareup.voice.HangupTest","hangupTest"
"","2869","Inventory Jackets","","2025-12-20","passed","2025-12-20","","cloud.cleo.squareup.voice.lang.PolishTest","cloud.cleo.squareup.voice.lang.PolishTest","candlesTest"
"","1820","Store Open Year","","2025-12-20","passed","2025-12-20","","cloud.cleo.squareup.voice.LanguageSwitchTest","cloud.cleo.squareup.voice.LanguageSwitchTest","storeOpenYearTest"
"","1390","Store Open Year","","2025-12-20","passed","2025-12-20","","cloud.cleo.squareup.voice.TransferTest","cloud.cleo.squareup.voice.TransferTest","storeOpenYearTest"
"","2032","Hang Up","","2025-12-20","passed","2025-12-20","","cloud.cleo.squareup.voice.lang.SpanishTest","cloud.cleo.squareup.voice.lang.SpanishTest","hangupTest"
"","2082","Hang Up","","2025-12-20","passed","2025-12-20","","cloud.cleo.squareup.voice.lang.SwedishTest","cloud.cleo.squareup.voice.lang.SwedishTest","hangupTest"
"","2551","City RAG Complaint Search","","2025-12-20","passed","2025-12-20","","cloud.cleo.squareup.voice.lang.DutchTest","cloud.cleo.squareup.voice.lang.DutchTest","cityRagTest"
"","2088","Hang Up","","2025-12-20","passed","2025-12-20","","cloud.cleo.squareup.voice.lang.PolishTest","cloud.cleo.squareup.voice.lang.PolishTest","hangupTest"
"","1513","Bot Name","","2025-12-20","passed","2025-12-20","","cloud.cleo.squareup.voice.TransferTest","cloud.cleo.squareup.voice.TransferTest","botNameTest"
"","2744","Indicate Starting Language","","2025-12-20","passed","2025-12-20","","cloud.cleo.squareup.voice.lang.SwedishTest","cloud.cleo.squareup.voice.lang.SwedishTest","indicateLanguageTest"
"","2177","Inventory Jackets","","2025-12-20","passed","2025-12-20","","cloud.cleo.squareup.voice.lang.NorwegianTest","cloud.cleo.squareup.voice.lang.NorwegianTest","candlesTest"
"","1279","Bot Name","","2025-12-20","passed","2025-12-20","","cloud.cleo.squareup.voice.HangupTest","cloud.cleo.squareup.voice.HangupTest","botNameTest"
"","2068","Hang Up","","2025-12-20","passed","2025-12-20","","cloud.cleo.squareup.voice.lang.DutchTest","cloud.cleo.squareup.voice.lang.DutchTest","hangupTest"
"","2183","Inventory Jackets","","2025-12-20","passed","2025-12-20","","cloud.cleo.squareup.voice.lang.SwedishTest","cloud.cleo.squareup.voice.lang.SwedishTest","candlesTest"
"","2550","Indicate Starting Language","","2025-12-20","passed","2025-12-20","","cloud.cleo.squareup.voice.lang.SpanishTest","cloud.cleo.squareup.voice.lang.SpanishTest","indicateLanguageTest"
"","2115","Bot Name","","2025-12-20","passed","2025-12-20","","cloud.cleo.squareup.voice.lang.FrenchTest","cloud.cleo.squareup.voice.lang.FrenchTest","botNameTest"
"","1379","Bot Name","","2025-12-20","passed","2025-12-20","","cloud.cleo.squareup.voice.LanguageSwitchTest","cloud.cleo.squareup.voice.LanguageSwitchTest","botNameTest"
"","2519","City RAG Complaint Search","","2025-12-20","passed","2025-12-20","","cloud.cleo.squareup.voice.lang.GermanTest","cloud.cleo.squareup.voice.lang.GermanTest","cityRagTest"
"","1991","Store Open Year","","2025-12-20","failed","2025-12-20","","cloud.cleo.squareup.voice.lang.DutchTest","cloud.cleo.squareup.voice.lang.DutchTest","storeOpenYearTest"
"","2053","Indicate Starting Language","","2025-12-20","passed","2025-12-20","","cloud.cleo.squareup.voice.lang.FrenchTest","cloud.cleo.squareup.voice.lang.FrenchTest","indicateLanguageTest"
"","2740","Indicate Starting Language","","2025-12-20","passed","2025-12-20","","cloud.cleo.squareup.voice.lang.NorwegianTest","cloud.cleo.squareup.voice.lang.NorwegianTest","indicateLanguageTest"
"","2158","Inventory Jackets","","2025-12-20","passed","2025-12-20","","cloud.cleo.squareup.voice.lang.GermanTest","cloud.cleo.squareup.voice.lang.GermanTest","candlesTest"
"","2250","Store Open Year","","2025-12-20","passed","2025-12-20","","cloud.cleo.squareup.voice.lang.FrenchTest","cloud.cleo.squareup.voice.lang.FrenchTest","storeOpenYearTest"
"","2043","Indicate Starting Language","","2025-12-20","passed","2025-12-20","","cloud.cleo.squareup.voice.lang.GermanTest","cloud.cleo.squareup.voice.lang.GermanTest","indicateLanguageTest"
"","1930","Hang Up","","2025-12-20","passed","2025-12-20","","cloud.cleo.squareup.voice.lang.NorwegianTest","cloud.cleo.squareup.voice.lang.NorwegianTest","hangupTest"
